loan_amount,funded_amount,funded_amount_investors,installment,loan_status,total_payment,total_payment_investors,total_received_principal,total_received_interest,repay_fail
25500,25500,18899.99783,609.73,0,11014.78,8160.1,2073.95,2180.65,1
8450,8450,8450,260.88,0,8546.69,8546.69,424.32,97.16,1
10000,10000,10000,351.53,0,7992.13,7992.13,5480.82,2252.64,1
22000,22000,21375,743.71,0,15971.5,15516.79,11741.69,3874.53,1
12250,10100,9880.751797,234.91,0,6030.25,5623.27,3216.92,2409.26,1
18000,18000,17975,478.5,3,1908,1905.36,720.09,1187.91,1
3000,3000,3000,103.4,3,1672.67,1672.67,1092.48,456.66,1
6000,6000,6000,201.27,0,1501.91,1501.91,847.91,358.03,1
7750,7750,7750,272.76,0,2999.93,2999.93,1977.37,1006.93,1
25000,20775,8525.00367,445.1,0,6221.88,2548,3930.54,2291.34,1
10000,10000,10000,339.69,0,5788.69,5788.69,2886.04,1177.52,1
8000,8000,8000,274.48,0,6037.92,6037.92,4459.9,1578.02,1
3000,3000,3000,106.62,0,2772.12,2772.12,2001.66,756.71,1
8000,8000,8000,265.68,0,1328.05,1328.05,947.23,380.82,1
2200,2200,2200,68.43,0,1119.38,1119.38,866.43,176.97,1
4500,4500,4341.92,145.21,0,578.48,578.48,434.48,144,1
6800,6800,6800,227.58,0,4701.72,4701.72,3459.09,1087.51,1
7500,7500,0.001867696,245.65,0,5434.7,0,4524.5,910.2,1
2000,2000,2000,69.25,0,2052.78,2052.78,1522.01,503.51,1
5000,5000,299.9938668,170.58,3,1379.49,82.74,938.17,426.33,1
9000,9000,9000,306.38,0,5088.32,5088.32,3547.89,1350.83,1
32000,27000,27000,621.13,0,14087.36,14087.36,4046.95,3390.05,1
5500,5500,5475,191.23,0,4588.43,4567.67,3364.37,1224.06,1
6000,6000,6000,197.47,0,2951.57,2951.57,1773.57,591.33,1
18400,18400,18350,520.08,0,9707.88,9681.62,3275.6,5563.77,1
12000,12000,10718.88,389.24,0,2795.34,2737.45,1749.77,583.69,1
8000,8000,7975,242.62,0,1523.92,1519.17,408.15,76.05,1
10500,10500,10338.16,358.44,0,3953.05,3905.98,2769.86,1183.19,1
5000,5000,5000,177.7,0,354.62,354.62,216.68,137.94,1
4000,4000,3752.92,92.66,0,91.89,91.89,46.27,45.62,1
11200,11200,750.0040615,370.19,0,10378.62,690.88,8351.1,2009.01,1
6000,6000,6000,195.73,0,4824.35,4824.35,3772.12,912.2,1
20000,20000,19800,674.9,3,8773.46,8685.68,6327.27,2430.18,1
12000,12000,12000,299.14,0,15708.43,15708.43,9454.1,5753.71,1
16800,16800,16775,409.53,0,4820.99,4813.87,1939.13,2363.89,1
33425,20675,19010.82122,475.63,0,19893.95,16765.31,13371.26,6512.03,1
8000,8000,8000,245.34,0,2136.16,2136.16,606.69,127.11,1
18825,18825,15754.15214,691.27,3,6798.8,5694.59,1565,1199.33,1
4000,4000,4000,130.94,0,3347.72,3347.72,2502.78,620.1,1
33000,33000,33000,1203.66,0,36040.93,36040.93,25066.43,9827.75,1
15000,14300,14050,306.45,0,7660.37,7526.1,5058.86,2601.51,1
35000,35000,34872.56581,933.14,0,16609.73,16544.02,5758.76,9170.41,1
25000,25000,25000,909.25,0,18320.25,18320.25,7533.04,5381.36,1
15000,15000,14953.61,484.01,0,2076.45,2074.36,1083.52,365.15,1
12000,12000,12000,423.61,0,6346.05,6346.05,4299.55,2046.5,1
35000,35000,33736.0392,916.03,0,45780.71,42823.37,26595.33,19185.38,1
5400,5400,5400,127.88,0,5105.63,5105.63,3140.6,1965.03,1
8000,8000,6725,202.85,3,2025.7,1702.5,890.25,1135.45,1
22000,22000,22000,530.92,0,18622.91,18622.91,9290.65,7560.26,1
10000,10000,10000,238.96,0,12897.88,12897.88,8596.76,4246.18,1
7000,7000,0.00108361,231.14,3,2326.4,0,1529.88,550.29,1
35000,35000,14869.54679,844.64,0,4054.81,1606.92,1179.04,1353.26,1
13200,13200,12679.15023,312.58,8,16864.62,15856.47,11394.87,5469.75,1
16000,16000,15975,401.87,0,10334.38,10318.37,4788.74,4855.83,1
1200,1200,1200,39.7,0,1059.15,1059.15,804.03,198.59,1
2400,2400,2325,83.15,3,752.76,729.24,443.47,219.57,1
2400,2400,2375,85.8,0,358.01,354.29,156.1,100.67,1
25000,25000,4324.996642,662.77,0,9128.49,1576.28,3656.9,5471.59,1
11000,11000,11000,363.84,0,4785.28,4785.28,2498.04,1798.77,1
10000,5500,2975.008431,178.48,0,3002.46,1623.81,2234.48,620.08,1
10000,10000,10000,311.11,0,7777.75,7777.75,6672.99,1072.48,1
28200,18475,18450,495.87,0,9159.2,9146.82,1718.56,2739.05,1
35000,35000,35000,952.39,0,28444.75,28444.75,4801.54,7577.19,1
30000,30000,30000,772.29,0,24439.43,24439.43,9986.78,11637.34,1
14000,10050,0.001966974,325.85,0,8630.2,0,480.72,170.96,1
13150,13150,13100,302.52,0,11314.23,11271.07,6338.27,3950.2,1
9600,9600,9500,240.81,0,5931.56,5869.79,2736.49,2785.35,1
11200,11200,3675.002448,365.78,3,3702.98,1212.95,2465.3,823.67,1
18000,18000,16300.4,613.87,0,20518.49311,18720.74,4275.43,1858.07,1
10000,10000,9600,320.95,0,7380.76,7085.21,6043.6,1326.52,1
6200,6200,6200,199.8,0,2452.22,2452.22,1700.79,493.16,1
25000,25000,24950,549.69,0,4946.48,4936.7,2883.96,2062.52,1
6800,6800,6800,258.79,0,6128.51,6128.51,3818.48,2126.46,1
14000,14000,13725,307.83,0,17854.14,17502.5,13319.93,4428.42,1
16000,16000,9026.248269,571.64,0,4201.08,2603.73,2311.22,1889.86,1
4950,4950,4950,119.46,0,2363.29,2363.29,1102.03,1040.87,1
15000,15000,5316.94,522.7,0,2090,1717.4,1347.47,742.53,1
4650,4650,4650,157.78,0,2687.73,2687.73,1789.85,724.54,1
6000,6000,4929.141372,201.71,0,1411.41,1164.38,993.56,417.85,1
20000,20000,18750,686.96,0,12999.18,12184.85,6231.39,2697.41,1
9000,9000,9000,238,0,5227.64,5227.64,2327.73,2899.91,1
10000,10000,10000,253.29,0,1009.92,1009.92,425.21,584.71,1
15000,15000,14975,364.38,0,7227.74,7215.8,3319.97,3217.81,1
4500,4500,4000.003225,144.7,0,5198.0731,4619.76,3108.95,644.93,1
7600,7600,7600,165.21,0,6724.39,6724.39,2081.31,1212.29,1
8000,8000,8000,194.63,0,8791.27,8791.27,5044.2,3301.79,1
1500,1500,1500,49.46,0,306.65,306.65,178.37,68.18,1
7700,7700,7700,266.14,0,5283.52,5283.52,3636.53,1414.05,1
8000,8000,8000,284.31,0,6234.12,6234.12,4160.7,1824.3,1
5000,5000,4975,163.08,0,813.55,809.5,600.97,212.58,1
11000,11000,11000,347.2,0,4860.09,4860.09,3928.67,931.42,1
16000,16000,15975,408.48,0,8576.66,8563.39,4035.93,4540.73,1
18000,18000,14150.00004,399.13,0,3142.29,2468.84,1357.41,1031.73,1
10000,10000,10000,237.43,0,5303.84,5303.84,2369.58,2482.07,1
17000,17000,16626.07,612.36,0,1955.44,1914.11,727.19,497.03,1
15000,11200,3200.003514,379.94,0,13248.55,3782.34,4426.09,1650.23,1
2500,2500,825,80.26,0,2086.63,688.35,1730.83,354.44,1
7500,7500,7500,272.62,0,4628.07,4628.07,2819.53,1519.03,1
8000,8000,8000,196.64,0,9704.91,9704.91,5686.91,3581.94,1
25475,21575,21300,496.33,0,7441.98,7346.98,4112.07,3315.78,1
5000,5000,4075.004073,172.11,3,2766.76,2254.87,224.63,119.43,1
2800,2800,2800,66.93,0,1779.19,1779.19,890.66,779.05,1
6000,6000,0,205.42,3,2259.4,0,1573.27,686.13,1
18000,18000,17845.81812,594.25,0,11008.02,10910.56,7222.26,2264.14,1
16750,16750,16481.05511,411.35,0,9048.4,8495.95,4620.29,4410.71,1
13000,13000,12465.73,424.01,0,2540.16,2540.16,1884.87,655.29,1
6000,6000,5975,210.95,3,474.33,472.36,130.28,79.59,1
5000,5000,5000,156.41,0,1596.15,1596.15,1139.65,265.45,1
10000,10000,9750,212.03,0,4664.22,4547.62,3108.62,1555.6,1
15000,15000,14975,345.08,0,8449.63,8435.62,3922.42,2961.18,1
2000,2000,1900,67.27,3,1190.61,1131.07,790.97,284.35,1
24000,24000,23308.0163,587.73,0,25269.47,23744.56,13775.33,10053.11,1
4800,4800,4800,174.05,3,2429.14,2429.14,1560.63,868.51,1
18500,18500,18475,575.56,0,5480.17,5472.81,3749.41,845.93,1
12000,12000,12000,270.65,0,7304.98,7304.98,3009.05,2110.69,1
2200,2200,2079.77,70.29,0,668.72,637.32,421.32,152.35,1
20000,20000,4969.095413,653.17,0,8469.39,3075.29,5958.49,1874.63,1
5000,5000,4007.312794,168.28,0,5414.29,4337.12,4340.86,1039.3,1
11000,11000,1074.998281,355.67,3,3199.03,311.04,2444.47,754.56,1
13000,13000,13000,283.37,0,2548.5,2548.5,1511.88,1020.45,1
3500,3500,3477.82,120.88,0,3339.37,3308.19,2471.46,786.76,1
3000,3000,3000,93.03,5,3333.683372,3333.68,3000,333.68,0
10000,10000,9775,320.95,5,11264.8304,11011.37,10000,1264.83,0
4500,4500,4500,136.88,5,4927.614315,4927.61,4500,427.61,0
8000,8000,8000,260.59,5,9415.65,9415.65,8000,1385.65,0
8000,8000,8000,273.78,5,9175.647319,9175.65,8000,1175.65,0
21000,21000,20725,695.82,5,21207.93,20930.21,21000,207.93,0
25000,25000,24404.14115,870.39,5,31270.21371,30464.34,24999.99,6226.7,0
6000,6000,5975,182.51,5,6570.14132,6542.77,6000,570.14,0
8000,8000,7975,282.53,4,10235.49081,10203.5,8000,2175.49,0
5000,5000,4900,155.96,5,5614.27944,5501.99,5000,614.28,0
15600,15600,15600,415.92,5,22030.97351,22030.97,15600,6430.97,0
5000,5000,4595.11,169.62,5,6105.992324,5517.75,4999.99,1106,0
12800,12800,4475,432.26,5,14829.29686,5184.47,12800,2029.3,0
25000,25000,24783.8337,664.58,5,37597.65029,37094.97,25000,12597.65,0
15000,15000,15000,473.45,5,16897.78733,16897.79,15000,1897.79,0
4000,4000,4000,136.7,5,4920.804352,4920.8,4000,920.8,0
20000,20000,19475,655.82,5,23610.47501,22990.7,20000,3610.48,0
6400,6400,6400,199.06,5,6866.598054,6866.6,6400,466.6,0
16000,16000,15483.77738,365.94,5,21379.84955,20450.02,16000,5379.85,0
16800,16800,14372.18302,441.93,5,23819.08412,18170.77,16800,7019.08,0
4000,4000,3946.224158,125.13,5,4504.842996,4439.2,4000,504.84,0
3000,3000,3000,96.79,4,3484.620739,3484.62,3000,484.62,0
4000,4000,3882.778044,121.31,5,4341.282389,4204.88,4000,341.28,0
14000,14000,14000,378.67,5,17614.12852,17614.13,14000,3614.13,0
2000,2000,2000,67.38,5,2297.28253,2297.28,2000,297.28,0
9000,9000,8950,191.18,5,11358.93001,11295.82,9000,2358.93,0
20000,20000,19750,664.2,5,22644.66232,22361.62,20000,2644.66,0
12000,12000,12000,272.24,5,16002.49873,16002.5,12000,4002.5,0
8600,8600,8600,317.08,5,11414.44365,11414.44,8600,2814.44,0
12000,12000,11975,257.16,5,14167.58759,14138.07,12000,2167.59,0
8000,8000,7932.665454,271.91,5,9744.171735,9651.29,8000,1744.17,0
6000,6000,6000,180.96,5,6514.521414,6514.52,6000,514.52,0
9000,9000,6304.41,297.13,5,10410.23189,6904.37,9000,1410.24,0
18250,11150,11125,377.58,5,13230.59808,13200.93,11150,2080.6,0
24000,24000,23750,603.98,1,33146.03,32800.05,21072.73,12073.3,0
11400,11400,11400,371.02,5,13337.02436,13337.02,11400,1937.02,0
20050,20050,19800,503.6,1,29176.7,28812.78,19048.39,10128.31,0
8000,8000,7900,266.4,5,9574.40259,9454.72,8000,1574.4,0
4200,4200,4200,137.75,5,4877.698547,4877.7,4200,677.7,0
8000,8000,7750,261.88,5,9427.334452,9132.73,8000,1427.33,0
4000,4000,4000,134.76,5,4777.592104,4777.59,4000,777.59,0
12000,12000,12000,368.45,5,13257.90402,13257.9,12000,1257.9,0
14500,10350,10142.54812,223.75,5,12823.31998,12517.1,10350,2473.32,0
16000,16000,16000,497.78,5,16563.17212,16563.17,16000,563.17,0
16000,16000,16000,551.05,5,19740.59129,19740.59,16000,3740.59,0
6000,6000,6000,185.24,5,6667.374696,6667.37,6000,667.37,0
1000,1000,1000,34.23,5,1232.228559,1232.23,1000,232.23,0
6000,6000,6000,181.97,5,6550.577356,6550.58,6000,550.58,0
14000,14000,14000,451.75,5,16263.18873,16263.19,14000,2263.19,0
10000,10000,10000,339.31,5,12051.13922,12051.14,10000,2051.14,0
3600,3600,3600,111.97,5,4030.753162,4030.75,3600,430.75,0
20000,20000,19398.56362,616.72,5,21678.11928,21012.87,20000,1678.12,0
14000,14000,14000,464.94,5,15107.99615,15108,14000,1108,0
7500,7500,7500,226.2,5,8107.390463,8107.39,7500,607.39,0
10000,10000,9975,253.56,5,14498.37393,14462.13,10000,4498.37,0
11200,11200,11200,377.32,5,13583.44646,13583.45,11200,2383.45,0
5525,5525,5425,181.83,5,6069.108734,5959.26,5525,544.11,0
9000,9000,9000,296.2,5,9824.418792,9824.42,9000,824.42,0
4000,4000,3500,140.53,4,5061.12088,4428.48,4000,1061.12,0
25000,25000,24725,806.68,5,29040.46662,28721.02,25000,4040.47,0
9600,9600,9600,323.42,5,11642.93201,11642.93,9600,2042.93,0
8000,8000,8000,241.28,5,8469.618403,8469.62,8000,469.62,0
2000,2000,1500,61.68,5,2210.524089,1657.89,2000,210.52,0
7800,7800,7800,267.61,5,9633.93857,9633.94,7800,1833.94,0
9600,9600,9600,296.07,5,10658.48469,10658.48,9600,1058.48,0
7500,7500,7400,237.08,5,8535.136967,8421.34,7500,1035.14,0
8000,8000,8000,267.33,5,8998.530713,8998.53,8000,998.53,0
8800,8800,8800,302.57,5,10375.97478,10375.97,8800,1575.98,0
4800,4800,4500,158.77,5,5715.499999,5358.28,4800,915.5,0
6600,6600,6600,238.38,5,7650.080115,7650.08,6600,1050.08,0
19200,19200,11374.17895,654.25,5,23530.75585,13012.83,19200,4330.76,0
17500,17500,17250,570.04,5,20253.74453,19964.41,17500,2753.74,0
8000,8000,8000,262.33,5,9414.082429,9414.08,8000,1414.08,0
11600,11600,11550,393.52,5,14155.13024,14094.12,11600,2555.13,0
10000,10000,10000,334.16,5,12029.45,12029.45,10000,2029.45,0
6000,6000,6000,180.96,5,6478.742715,6478.74,6000,478.74,0
14000,14000,14000,377.89,5,17797.36408,17797.36,14000,3797.36,0
20000,20000,17465.20297,421.22,5,25267.12584,21425.18,20000,5267.13,0
5600,5600,5600,189.29,5,6814.43291,6814.43,5600,1214.43,0
24000,24000,7025,816.43,5,25781.57,7546.59,24000,1781.57,0
7850,7850,7850,266.36,5,8169.250845,8169.25,7850,319.25,0
12000,12000,8380.785186,319.6,5,14153.50173,9367.85,12000,2153.5,0
14000,14000,14000,480.33,5,16745.80143,16745.8,14000,2745.8,0
6000,6000,5000,197.47,5,7097.956703,5914.96,6000,1097.96,0
8000,8000,8000,259.53,5,9344.305574,9344.31,7999.99,1344.32,0
12000,12000,12000,265.18,1,14836.36,14836.36,10956.04,3880.32,0
25000,25000,1725,795.11,5,27752.44158,1914.95,25000,2752.44,0
7000,7000,6774.366561,228.35,5,8220.739018,7933.68,7000,1220.74,0
11200,11200,11193.82412,360.92,5,12023.06663,12015.07,11200,823.07,0
10000,10000,9850,311.11,5,10235.33585,10081.81,10000,235.34,0
6400,6400,6400,221.74,5,7044.346175,7044.35,6400,644.35,0
6000,6000,6000,201.25,5,7244.571702,7244.57,6000,1244.57,0
7750,7750,7692.325342,238.98,5,8603.408132,8534.11,7750,853.41,0
3500,3500,3500,119.61,5,4305.724846,4305.72,3500,805.72,0
10000,10000,6800.14649,370.57,4,13281.51877,8583.11,10000,3281.52,0
12100,12100,12100,302.48,5,12785.36772,12785.37,12100,685.37,0
9000,9000,8725,290.37,5,9975.9144,9671.09,9000,975.91,0
12000,12000,11922.58282,363.93,5,13101.18684,13010.23,12000,1101.19,0
10000,10000,10000,308.41,5,10498.10473,10498.1,10000,498.1,0
15000,15000,14988.07563,506.18,5,18072.32611,18056.37,15000,3072.33,0
8450,8450,8325,275.13,5,9868.845709,9722.86,8450,1418.85,0
7800,7800,7800,263.21,5,8689.133949,8689.13,7800,889.13,0
12000,12000,11950,284.92,5,15120.93572,15057.93,12000,3120.94,0
1000,1000,1000,33.62,5,1209.191527,1209.19,1000,209.19,0
20000,20000,19925,669.33,5,24095.69722,24005.34,20000,4095.7,0
6500,6500,6500,212.78,5,7620.048991,7620.05,6500,1120.05,0
25000,15525,15275,344.25,5,20109.47291,19785.65,15525,4584.47,0
28000,28000,27725,870.85,5,30259.40765,29962.22,28000,2259.41,0
1400,1400,1400,48.96,5,1762.450685,1762.45,1400,362.45,0
7000,7000,7000,148.73,5,8924.811635,8924.81,7000,1924.81,0
16750,16750,16750,406.89,5,22374.55276,22374.55,16750,5604.21,0
25000,25000,24950,843.08,5,30361.64395,30300.92,25000,5361.64,0
7500,7500,7500,186.64,5,11198.0594,11198.06,7500,3698.06,0
8000,8000,8000,269.52,5,8563.860478,8563.86,8000,563.86,0
3500,3500,3400,109.27,5,3923.548065,3811.46,3500,423.55,0
17000,17000,12879.15969,576.69,5,20542.75586,15024.53,17000,3542.76,0
2950,2950,2950,71.66,4,4299.540001,4299.54,2950,1349.54,0
9975,9975,9925,300.85,5,10836.62584,10782.31,9975,831.55,0
24000,24000,24000,730.02,5,26281.68448,26281.68,24000,2281.68,0
2500,2500,2500,84.52,5,3036.14598,3036.15,2500,536.15,0
12500,8425,8145.913727,168.86,5,10115.76,9724.98,8425,1690.76,0
2500,2500,2500,83.03,5,2926.968379,2926.97,2500,426.97,0
4200,4200,4200,127.83,5,4601.849929,4601.85,4200,401.85,0
1800,1800,0,56.68,4,2000.386671,0,1800,200.39,0
8000,8000,8000,246.73,5,8047.01,8047.01,8000,47.01,0
15000,15000,14837.52703,364.94,5,17076.85723,16719.22,15000,2076.86,0
16775,16775,16775,575.54,5,19056.48206,19056.48,16775,2281.48,0
17500,17500,17087.35118,593.7,5,20081.07886,19515.54,17500,2581.08,0
6000,6000,6000,190.52,5,6858.690042,6858.69,6000,858.69,0
12250,12250,12225,399.61,5,14386.32052,14356.96,12250,2136.32,0
15000,15000,14949.43381,507.01,5,18252.60642,18190.92,15000,3252.61,0
15000,15000,15000,491.94,5,16689.10057,16689.1,15000,1689.1,0
600,600,225,19.8,4,682.1189695,255.79,600,82.12,0
15000,15000,14975,456.27,5,15919.64525,15893.11,15000,919.65,0
7000,7000,514,232.04,5,8353.107275,606.59,6999.99,1353.11,0
14000,14000,14000,340.16,1,18650.05,18650.05,12334.51,6315.54,0
9600,9600,9565.072363,322.88,4,11624.25599,11580.54,9600,2024.26,0
3000,3000,3000,101.91,5,3716.072002,3716.07,3000,671.07,0
3250,3250,3250,107.16,5,3741.313109,3741.31,3250,491.31,0
8000,8000,7850,247.53,5,8668.891576,8506.35,8000,668.89,0
25000,25000,25000,870.39,5,30396.75775,30396.76,24999.99,5396.77,0
10000,10000,2050,316.28,5,11379.35395,2332.85,10000,1379.35,0
15000,15000,14964.26316,524.8,4,18893.90204,18846.75,15000,3893.9,0
1200,1200,1200,39.14,5,1425.107407,1425.11,1200,210.11,0
1500,1500,1475,46.93,5,1653.513747,1625.95,1500,153.51,0
5000,5000,5000,155.51,5,5439.435402,5439.44,5000,439.44,0
3000,3000,3000,101.77,5,3614.345947,3614.35,3000,614.35,0
25000,25000,1900,836.66,5,25261.29,1920.1,25000,261.29,0
12000,12000,11950,404.97,5,14579.57907,14518.83,12000,2579.58,0
25000,25000,24875,818.38,5,29462.61762,29315.3,24999.99,4462.62,0
10000,10000,10000,324.37,5,11619.96843,11619.97,9999.99,1619.98,0
12000,12000,11975,291.76,5,17287.64996,17251.63,12000,5287.65,0
10000,10000,9975,239.01,5,14339.97976,14304.13,10000,4339.98,0
4000,4000,4000,129.77,5,4671.973757,4671.97,4000,671.97,0
8600,8600,8408.06,290.43,5,10368.8623,10087.73,8600,1768.86,0
5000,5000,4996.816025,151.64,5,5458.819817,5455.07,5000,458.82,0
16000,16000,16000,388.75,1,20941.89,20941.89,13745.53,7196.36,0
16000,16000,15850,547.55,5,18988.741,18810.72,16000,2988.74,0
17600,17600,17350,400.37,5,23274.47995,22943.88,17600,5674.48,0
6000,6000,6000,186.61,5,6565.918191,6565.92,6000,565.92,0
8000,8000,7819.423317,250.25,5,8984.856186,8765.9,8000,984.86,0
9250,9250,9000,309.57,5,11163.24319,10861.53,9250,1897.76,0
10000,10000,9869.156071,301.6,5,10858.54182,10716.06,10000,858.54,0
7000,7000,6900,227.13,5,7443.951149,7337.62,7000,443.95,0
16000,16000,16000,368.08,5,21287.69,21287.69,16000,5287.69,0
6000,6000,1250,202.52,4,7290.311701,1518.81,6000,1290.31,0
6800,6800,6800,206.23,5,7369.203562,7369.2,6800,569.2,0
14825,14825,14825,451.21,5,16241.17741,16241.18,14825,1416.18,0
3600,3600,3600,127.94,5,3971.241049,3971.24,3600,371.24,0
18200,18200,17917.42098,416.26,5,23187.78866,22797.13,18200,4987.79,0
3000,3000,2950,90.99,5,3253.514494,3199.29,3000,253.51,0
20000,20000,19925,435.95,5,26156.72,26058.63,20000,6156.72,0
9000,9000,9000,284.07,5,10226.3622,10226.36,9000,1226.36,0
10000,10000,9600,335.07,5,10501.0217,10080.98,10000,501.02,0
11975,11975,10950,400.76,5,12681.26743,11595.82,11975,706.27,0
11200,11200,11200,370.46,5,12816.14166,12816.14,11200,1616.14,0
4000,4000,4000,130.47,5,4696.620491,4696.62,4000,696.62,0
15000,15000,15000,466.53,5,16794.85415,16794.85,15000,1794.85,0
13500,13500,13091.24551,294.34,5,17422.66195,16891.76,13500,3922.66,0
12000,12000,12000,402.54,5,14429.04602,14429.05,12000,2429.05,0
2800,2800,2800,98.55,5,3563.808281,3563.81,2800,748.81,0
7000,7000,7000,227.92,5,8132.249386,8132.25,7000,1132.25,0
8000,8000,7925,265.18,5,9033.820768,8949.13,8000,1033.82,0
6975,6975,3175,232.64,5,8203.67965,3734.29,6975,1228.68,0
22200,22200,22200,614.53,1,35020.1,35020.1,20416.66,14574.07,0
3000,3000,2975,97.31,5,3503.295082,3474.1,3000,503.3,0
4900,4900,4900,168.76,5,6075.288069,6075.29,4900,1175.29,0
25000,24625,24375,564.72,5,25962.06454,25698.49,24625,1337.06,0
25000,25000,11100,914.42,5,29426.06522,13065.17,25000,4426.07,0
35000,35000,30460.00873,893.54,5,50808.05163,41014.64,35000,15808.05,0
5600,5600,5600,180.67,5,6495.217479,6495.22,5600,895.22,0
17000,17000,16975,441.28,5,24192.56974,24156.99,17000,7192.57,0
20000,20000,19725,655.92,5,22734.99194,22422.39,20000,2734.99,0
3000,3000,3000,101.8,5,3219.711407,3219.71,3000,219.71,0
28000,28000,26264.22559,731.9,5,43969.08988,39815.58,28000,15969.09,0
10000,10000,9750,313.37,5,11280.99334,10998.96,10000,1280.99,0
12000,12000,12000,370.48,5,13316.23657,13316.24,12000,1316.24,0
3600,3600,3600,109.8,5,3859.412314,3859.41,3600,259.41,0
6400,6400,6400,194.68,5,7002.364354,7002.36,6400,602.36,0
18250,18250,17724.42765,598.44,5,21544.40817,20921.55,18250,3294.41,0
5000,5000,5000,162.73,5,5858.047647,5858.05,5000,858.05,0
20000,20000,19825,460.1,5,27372.33,27132.82,20000,7372.33,0
4800,4800,4800,149.29,5,5174.721351,5174.72,4800,374.72,0
16000,16000,16000,348.84,5,20561.83458,20561.83,16000,4561.83,0
14400,14400,14400,476.3,5,15544.00676,15544.01,14400,1144.01,0
14000,14000,1550,470.66,5,14975.61587,1658.19,14000,975.62,0
10475,10475,8375,373.62,4,12999.90761,10393.72,10475,2506.23,0
1600,1600,1600,54.68,5,1968.321741,1968.32,1600,368.32,0
12000,12000,11650,246.15,5,14464.58999,14042.71,12000,2464.59,0
4800,4800,4277.13,157.92,4,5700.146731,5066.6,4800,885.15,0
25000,25000,24975,555.99,5,31029.96376,30998.93,25000,6029.96,0
14000,14000,2580.17,462.74,5,16658.21622,2796.26,13999.99,2658.22,0
20000,20000,15550,676.02,5,21619.13589,16808.89,20000,1619.14,0
7500,7500,7475,232.06,5,8354.767025,8326.92,7500,854.77,0
6400,6400,6400,169.96,5,10196.86609,10196.87,6400,3796.87,0
10000,10000,10000,344.76,5,10361.85376,10361.85,10000,361.85,0
5000,5000,4036.174843,160.48,5,5776.912194,4652.33,4999.99,776.92,0
9750,9750,9500,319.16,5,10011.6132,9754.9,9750,261.61,0
25000,23075,22973.69,556.01,4,24539.63146,24322.79,23074.99,1464.64,0
8000,8000,1375,275.07,4,8096.5,1391.82,8000,96.5,0
1500,1500,1486.799954,50.96,5,1834.238605,1816.6,1500,334.24,0
18000,18000,8925,578.79,5,21247.03722,10534.99,18000,3218.1,0
3500,3500,3500,105.56,5,3800.137034,3800.14,3500,300.14,0
4000,4000,3500,129.54,5,4663.687377,4080.73,4000,663.69,0
10000,10000,9750,315.63,5,11329.69114,11046.45,10000,1329.69,0
4000,4000,4000,136.55,5,4860.830001,4860.83,4000,860.83,0
8825,8825,8825,290.98,5,10409.48541,10409.49,8825,1584.49,0
13600,13600,13275,278.96,5,16607.42,16210.55,13600,3007.42,0
10000,10000,9819.393245,309.4,5,11127.89041,10923.17,10000,1127.89,0
10000,10000,7189.37906,334.67,5,12031.84111,8505.3,10000,2015.11,0
2000,2000,2000,71.5,5,2473.99391,2473.99,2000,473.99,0
10000,10000,10000,355.99,5,11951.12751,11951.13,10000,1951.13,0
4550,4550,4550,154.9,5,5256.750754,5256.75,4550,706.75,0
3000,3000,3000,93.31,5,3350.349752,3350.35,3000,350.35,0
24000,24000,23975,542.28,5,32302.33006,32268.68,24000,8302.33,0
10000,10000,10000,304.36,5,10956.77596,10956.78,10000,956.78,0
23000,23000,22950,587.19,5,35180.95778,35104.48,23000,12180.96,0
8500,8500,8500,281.15,5,10118.5024,10118.5,8500,1618.5,0
5200,5200,5200,173.76,5,6255.333504,6255.33,5200,1055.33,0
5500,5500,5500,185.27,5,5674.867863,5674.87,5500,174.87,0
12000,12000,9734.16,394.36,5,14104.90253,11153.89,12000,2104.9,0
18000,18000,10609.44282,602.4,5,21686.0411,12074.55,18000,3686.04,0
34000,34000,33975,875.26,5,46448.62561,46414.47,34000,12448.63,0
20000,20000,19762.11283,486.26,1,27644.03,27172.09,18537.44,9106.59,0
5000,5000,5000,119.48,5,7168.373149,7168.37,5000,2168.37,0
9500,9500,9013.14,312.21,5,11053.65273,10422.83,9500,1553.66,0
8000,8000,7975,265.18,5,9332.987705,9303.82,8000,1332.99,0
14000,14000,13742.92431,300.02,5,17159.81279,16747.31,14000,3159.81,0
2000,2000,2000,62.57,5,2252.242678,2252.24,2000,252.24,0
8400,8400,8400,281.78,5,10143.94,10143.94,8400,1743.94,0
25000,16375,16125,352.7,5,20709.08002,20392.91,16375,4334.08,0
6600,6600,0,219.12,5,7332.15,0,6600,732.15,0
10800,10800,10800,402.24,4,14480.47089,14480.47,10800,3680.47,0
25000,25000,24500,806.57,5,29037.95103,28457.19,25000,4037.95,0
15000,15000,14925,324.27,5,19456.14136,19358.86,15000,4456.15,0
11200,11200,11200,243.46,5,13068.49838,13068.5,11200,1868.5,0
12000,12000,11975,392.81,5,12942.62902,12915.67,12000,942.63,0
24000,14450,14012.71242,440.72,5,15866.29741,15347.12,14450,1416.3,0
10000,10000,10000,350.1,5,12577.77508,12577.78,10000,2577.78,0
7500,7500,7484.672056,228.75,5,8183.515981,8166.23,7500,683.52,0
20000,20000,18942.10903,666,5,23975.90247,22607.44,20000,3975.91,0
5500,5500,5475,169.63,5,6007.201116,5979.89,5500,507.2,0
